"Loan.Amount","Loan.Term","Employment.Length","Home.Ownership","Annual.Income","Loan.Purpose","Address.State","Debt.To.Income.Ratio","No..Delinquencies.In.Last.2.Years","Earliest.Credit.Line.Opened","FICO.Credit.Score","No..Inquiries.In.Last.6.Months","Months.Since.Last.Delinquency","No..Of.Credit.Lines","No..Adverse.Public.Records","Total.Credit.Balance","Use.Of.Credit.Line","Total.Number.Of.Credit.Lines","Loan.Application.Description","No..Of.Public.Record.Bankruptcies","Class"
7000,"36 Months",0.5,"NOne",65000,"0","AL",14.29,"None",36820.52083,705,0,0,7,"None",33623,76.7,7,71,"None","0"
1200,"36 Months",10,"MORTGAGE",54000,"Debt Consolidation","AL",5.47,"None",31068.22222,675,0,64,5,"None",2584,40.4,31,748,"None","0"
7500,"36 Months",3,"NOne",85000,"Debt Consolidation","CA",8.1,"None",36846.05278,710,1,0,3,"None",33667,73.2,11,293,"None","0"
3200,"36 Months",5,"NOne",54000,"Debt Consolidation","AL",6.51,"None",38872.23681,740,0,0,7,"None",3198,51.1,11,141,"None","0"
2525,"36 Months",3,"NOne",27000,"Debt Consolidation","",10,"None",37139.14167,705,1,0,5,"None",5630,23,8,171,"None","0"
10625,"36 Months",10,"MORTGAGE",34000,"Debt Consolidation","",22.09,"None",33085.05972,675,2,57,5,"Four",13846,71,16,62,"One","0"
7500,"36 Months",3,"MORTGAGE",138000,"Debt Consolidation","AZ",9.16,"Eight",35306.51944,660,2,10,11,"None",5122,18.2,37,981,"None","0"
10000,"36 Months",1,"MORTGAGE",56000,"Debt Consolidation","AZ",15.49,"None",33584.53958,765,0,0,7,"None",6068,16.7,49,240,"None","0"
3000,"36 Months",9,"MORTGAGE",1e+05,"Renewable Energy","CA",6.5,"Eight",35827.15833,745,0,16,14,"None",3021,4.8,25,651,"None","0"
6625,"36 Months",0.5,"NOne",13200,"Debt Consolidation","CA",9.73,"None",37963.44444,725,0,0,3,"None",6282,44.6,9,1000,"None","0"
18000,"36 Months",10,"MORTGAGE",36000,"Debt Consolidation","AZ",3.8,"None",36759.33958,710,0,0,2,"None",8311,59.8,9,55,"None","0"
5000,"36 Months",2,"NOne",60000,"0","",2.74,"None",38411.21319,665,3,0,2,"None",591,84.4,6,192,"None","0"
10000,"36 Months",3,"NOne",1e+05,"0","CA",7.94,"None",37589.44722,660,0,0,11,"None",21162,57.7,14,141,"None","0"
7500,"36 Months",0.5,"MORTGAGE",22000,"Debt Consolidation","AL",14.29,"Eight",37921.28333,660,0,11,7,"None",4175,51.5,8,91,"None","0"
5000,"36 Months",4,"NOne",2e+05,"Debt Consolidation","AL",0.28,"None",34773.39444,770,0,0,2,"None",3164,13.7,2,0,"None","0"
8500,"36 Months",3,"NOne",18000,"0","AZ",6.4,"Eight",31776.08403,690,1,5,6,"None",8847,26.9,9,406,"None","0"
5000,"36 Months",5,"MORTGAGE",75000,"0","",15.55,"None",34478.25347,755,0,0,10,"None",50000,23,29,72,"None","0"
5000,"36 Months",7,"MORTGAGE",95000,"Home Improvement","AL",3.83,"None",36728.28819,770,0,0,8,"None",3660,6.8,16,214,"None","0"
5000,"36 Months",1,"MORTGAGE",85000,"0","AZ",0.31,"None",35708.39514,785,0,0,7,"None",216,0.6,19,0,"None","0"
5000,"36 Months",0.5,"MORTGAGE",80000,"0","AZ",1.21,"None",35258.43889,670,3,0,15,"Four",27185,16.1,29,0,"None","0"
5000,"36 Months",4,"MORTGAGE",48000,"Debt Consolidation","CA",8.03,"None",34928.47986,705,1,0,6,"None",28329,48.6,6,104,"None","0"
5000,"36 Months",2,"MORTGAGE",180000,"Home Improvement","AZ",11.93,"None",34749.18403,715,1,0,16,"None",50000,39.2,38,41,"None","0"
5000,"36 Months",0.5,"MORTGAGE",180000,"Home Improvement","AZ",5.55,"None",35229.19792,740,0,0,12,"None",40934,26.3,39,33,"None","0"
3000,"36 Months",0.5,"MORTGAGE",25000,"Renewable Energy","AL",14.54,"None",36790.18264,750,1,0,10,"None",3660,7.8,13,527,"None","0"
5300,"36 Months",7,"MORTGAGE",74000,"0","",14.37,"None",33643.47431,795,0,0,15,"None",6844,14.4,29,88,"None","0"
5400,"36 Months",0.5,"NOne",8000,"Debt Consolidation","CA",3,"None",32596.44514,760,0,0,4,"None",1321,16.5,4,351,"None","0"
5750,"36 Months",10,"MORTGAGE",125000,"Debt Consolidation","AL",0.27,"None",31788.53819,790,0,0,10,"None",2817,10.2,16,41,"None","0"
10000,"36 Months",0.5,"NOne",27376,"Renewable Energy","",10.7,"None",37881.12292,710,0,0,4,"None",3534,54.4,4,740,"None","0"
3500,"36 Months",0.5,"NOne",13500,"Debt Consolidation","CA",16.44,"None",37616.48681,710,1,0,10,"None",2864,41.1,16,536,"None","0"
2700,"36 Months",1,"NOne",52200,"Debt Consolidation","AL",12.57,"None",37857.12222,625,1,0,12,"None",3075,92.3,13,27,"None","0"
12250,"36 Months",3,"NOne",60000,"Renewable Energy","CA",17.12,"Eight",30000,745,2,19,10,"None",17214,8.1,24,751,"None","0"
1200,"36 Months",0.5,"NOne",20000,"0","AL",2.04,"None",38132.20833,660,2,24,3,"None",1153,75.8,4,649,"None","0"
12000,"36 Months",9,"MORTGAGE",75000,"0","CA",15,"None",34796.37847,680,3,78,9,"None",43039,93.4,24,11,"None","0"
6400,"36 Months",1,"NOne",60000,"Medical","AZ",7.72,"None",36982.33333,710,0,0,7,"None",3362,69.3,8,276,"None","0"
12000,"36 Months",1,"NOne",65000,"Debt Consolidation","AL",7.14,"Eight",30547.07917,680,0,2,6,"None",11868,71.9,23,128,"None","0"
3500,"36 Months",0.5,"NOne",20000,"Medical","AL",1.5,"None",37867.39097,680,0,0,17,"None",1882,32.4,18,239,"None","0"
3000,"36 Months",2,"MORTGAGE",36153,"Debt Consolidation","",7.47,"None",36728.28333,665,2,0,3,"Four",1064,70.9,6,1000,"One","0"
3500,"36 Months",5,"NOne",98000,"0","AZ",8.52,"Eight",34300.22153,750,0,15,19,"None",6432,6,37,54,"None","0"
5000,"36 Months",3,"MORTGAGE",130000,"Debt Consolidation","AL",8.55,"None",33350.26875,710,0,38,9,"None",20969,40.2,26,94,"None","0"
5000,"36 Months",1,"MORTGAGE",2e+05,"Home Improvement","AZ",6.48,"None",33953.3625,750,1,47,12,"None",2160,2.3,22,57,"None","0"
8000,"36 Months",3,"NOne",48000,"Debt Consolidation","AZ",15.13,"None",36654.30556,720,3,0,10,"None",11289,47.8,15,405,"None","0"
3000,"36 Months",9,"MORTGAGE",50000,"Home Improvement","AZ",5.35,"None",30937.44097,760,0,0,17,"None",21050,0.7,29,17,"None","0"
3000,"36 Months",5,"MORTGAGE",62000,"Home Improvement","CA",12.23,"None",36578.16597,735,0,0,10,"None",3678,30.7,14,89,"None","0"
12750,"36 Months",1,"NOne",60000,"0","AL",19.52,"None",36609.32708,665,2,0,9,"None",33074,68.8,9,500,"None","0"
4000,"36 Months",1,"MORTGAGE",61800,"Medical","AL",3.46,"None",36791.13125,745,0,0,12,"None",1918,17.1,16,234,"None","0"
4800,"36 Months",5,"NOne",30000,"Debt Consolidation","CA",12.36,"None",37547.37153,680,0,0,9,"None",12310,86.1,15,112,"None","0"
12125,"36 Months",10,"MORTGAGE",150000,"Debt Consolidation","AL",4.8,"None",30000,765,0,0,10,"None",50000,39.1,27,174,"None","0"
