"Loan.Amount","Loan.Term","Employment.Length","Home.Ownership","Annual.Income","Loan.Purpose","Address.State","Debt.To.Income.Ratio","No..Delinquencies.In.Last.2.Years","Earliest.Credit.Line.Opened","FICO.Credit.Score","No..Inquiries.In.Last.6.Months","Months.Since.Last.Delinquency","No..Of.Credit.Lines","No..Adverse.Public.Records","Total.Credit.Balance","Use.Of.Credit.Line","Total.Number.Of.Credit.Lines","Loan.Application.Description","No..Of.Public.Record.Bankruptcies","Class"
10000,"36 Months",1,"NOne",42000,"Debt Consolidation","CA",8.06,"Eight",37837.15139,690,2,14,11,"None",9010,47.2,32,0,"None","0"
9600,"60 Months",3,"NOne",36000,"Home Improvement","AZ",1.1,"Eight",36030.05,745,0,22,9,"None",776,3.1,18,808,"None","0"
9700,"36 Months",4,"NOne",71000,"0","",8.15,"None",36687.22361,760,4,0,9,"None",6953,30.9,18,294,"None","0"
2400,"36 Months",0.5,"NOne",70000,"Debt Consolidation","CA",14.45,"None",37547.09375,665,1,0,8,"None",13491,67.8,13,0,"None","0"
12125,"36 Months",9,"NOne",42000,"Debt Consolidation","",22.11,"None",36706.17917,745,3,0,20,"None",19029,22,51,123,"None","0"
12000,"36 Months",4,"MORTGAGE",118000,"Medical","AZ",1.59,"None",37888.12292,780,0,0,10,"None",275,0.7,23,103,"None","0"
18000,"36 Months",10,"MORTGAGE",82000,"Debt Consolidation","",10.67,"None",30000,705,2,43,13,"None",16337,39.7,63,0,"None","0"
9250,"36 Months",0,"NOne",29736,"Medical","AZ",20.58,"None",30000,700,0,0,8,"Four",18515,87.7,25,0,"One","0"
2400,"36 Months",10,"MORTGAGE",38000,"Debt Consolidation","",25.77,"None",37621.29792,700,0,0,4,"None",2310,96.2,7,227,"None","0"
3000,"36 Months",2,"MORTGAGE",36000,"Home Improvement","AL",10.37,"None",33280.18056,770,0,0,9,"None",3413,15,22,0,"None","0"
24000,"60 Months",1,"MORTGAGE",65000,"Debt Consolidation","AZ",22.58,"Eight",35282.50764,680,0,8,12,"None",13066,53.3,22,329,"None","0"
4000,"36 Months",3,"NOne",40000,"Renewable Energy","AZ",12.69,"None",38941.50069,670,1,0,5,"None",6841,69.4,8,0,"None","0"
5000,"36 Months",2,"MORTGAGE",64890,"Debt Consolidation","CA",15.17,"None",38287.12986,790,1,0,17,"None",4485,8.8,32,99,"None","0"
4000,"36 Months",4,"NOne",38200,"0","AL",10.05,"None",39598.44722,715,0,0,3,"None",1573,46.3,7,0,"None","0"
25000,"36 Months",5,"MORTGAGE",2e+05,"Medical","AZ",4.95,"None",37330.11111,775,0,0,6,"None",50000,0,8,389,"None","0"
13000,"36 Months",8,"NOne",69996,"Debt Consolidation","AL",18.22,"None",35488.18056,710,1,0,10,"None",24893,69.9,24,862,"None","0"
20000,"36 Months",3,"MORTGAGE",2e+05,"Home Improvement","CA",2.2,"Eight",35425.08403,690,1,21,6,"None",4147,17.9,42,211,"None","0"
18000,"36 Months",5,"MORTGAGE",95000,"0","CA",16.61,"None",34689.25278,730,2,0,10,"None",42564,56.7,32,231,"None","0"
1500,"36 Months",1,"NOne",49788,"Medical","AL",18.2,"None",36297.1,720,1,56,10,"None",1498,6.7,14,38,"None","0"
25000,"36 Months",10,"MORTGAGE",171996,"Debt Consolidation","AZ",15.88,"None",30000,745,0,0,8,"None",50000,41.5,31,239,"None","0"
5400,"36 Months",0.5,"MORTGAGE",121008,"Debt Consolidation","AL",7,"None",36488.50069,795,1,0,10,"None",466,2.1,29,111,"None","0"
17500,"36 Months",3,"NOne",53352,"Debt Consolidation","",22.72,"None",35767.40347,735,1,0,10,"None",17787,40,38,516,"None","0"
15000,"36 Months",10,"MORTGAGE",51500,"Debt Consolidation","",13.14,"None",30190.18681,780,3,0,21,"None",16428,28.2,47,0,"None","0"
35000,"36 Months",0.5,"MORTGAGE",105000,"Debt Consolidation","AL",17.9,"None",33448.32431,775,3,0,8,"None",31600,63.2,25,308,"None","0"
1100,"60 Months",10,"NOne",35004,"Debt Consolidation","AL",2.09,"Eight",36774.44306,685,0,22,4,"None",883,73.6,11,0,"None","0"
23000,"60 Months",5,"MORTGAGE",57000,"Medical","AL",24.53,"None",37263.24653,725,0,0,12,"None",8574,48.4,26,942,"None","0"
25000,"36 Months",6,"MORTGAGE",70000,"Renewable Energy","AZ",8.16,"None",32338.33958,745,4,0,6,"None",38348,66.1,19,406,"None","0"
10000,"36 Months",3,"MORTGAGE",60000,"0","AZ",0.36,"None",37388.42569,790,0,0,7,"None",1858,12.7,11,233,"None","0"
33000,"60 Months",6,"NOne",92000,"Debt Consolidation","AZ",20.48,"None",35755.39375,720,1,0,9,"None",4964,24.2,42,481,"None","0"
6500,"36 Months",7,"MORTGAGE",63000,"Debt Consolidation","",11.7,"None",36284.15,670,1,41,8,"None",15825,90.9,31,93,"None","0"
3700,"60 Months",7,"MORTGAGE",37092,"Debt Consolidation","CA",3.49,"None",38768.12361,725,1,0,3,"None",6628,61.5,6,0,"None","0"
